+2.96796e+06,+1.64022e+06,minutes,hour_of_day,day_of_week,fault_label,fault_type
2967960.0,1640220.0,0.0,0.016666666666666666,0,0,normal
2967960.0,1640220.0,1.0,0.03333333333333333,0,0,normal
2967960.0,1640220.0,2.0,0.05,0,0,normal
2967960.0,1640220.0,3.0,0.06666666666666667,0,0,normal
2967960.0,1640220.0,4.0,0.08333333333333333,0,0,normal
2967960.0,1640220.0,5.0,0.1,0,0,normal
2967960.0,1640220.0,6.0,0.11666666666666667,0,0,normal
2967960.0,1640220.0,7.0,0.13333333333333333,0,0,normal
2967960.0,1640220.0,8.0,0.15,0,0,normal
2967960.0,1640220.0,9.0,0.16666666666666666,0,0,normal
2967960.0,1640220.0,10.0,0.18333333333333332,0,0,normal
2967960.0,1640220.0,11.0,0.2,0,0,normal
2967960.0,1640220.0,12.0,0.21666666666666667,0,0,normal
2967960.0,1640220.0,13.0,0.23333333333333334,0,0,normal
2967960.0,1640220.0,14.0,0.25,0,0,normal
2967960.0,1640220.0,15.0,0.26666666666666666,0,0,normal
2967960.0,1640220.0,16.0,0.2833333333333333,0,0,normal
2967960.0,1640220.0,17.0,0.3,0,0,normal
2967960.0,1640220.0,18.0,0.31666666666666665,0,0,normal
2967960.0,1640220.0,19.0,0.3333333333333333,0,0,normal
2967960.0,1640220.0,20.0,0.35,0,0,normal
2967960.0,1640220.0,21.0,0.36666666666666664,0,0,normal
2967960.0,1640220.0,22.0,0.38333333333333336,0,0,normal
2967960.0,1640220.0,23.0,0.4,0,0,normal
2967960.0,1640220.0,24.0,0.4166666666666667,0,0,normal
2967960.0,1640220.0,25.0,0.43333333333333335,0,0,normal
2967960.0,1640220.0,26.0,0.45,0,0,normal
2967960.0,1640220.0,27.0,0.4666666666666667,0,0,normal
2967960.0,1640220.0,28.0,0.48333333333333334,0,0,normal
2967960.0,1640220.0,29.0,0.5,0,0,normal
2967960.0,1640220.0,30.0,0.5166666666666667,0,0,normal
2967960.0,1640220.0,31.0,0.5333333333333333,0,0,normal
2967960.0,1640220.0,32.0,0.55,0,0,normal
